Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
1,14364,1,Flacq,Slight,Jun,2009,Tue,20:50,Not a junction,Not a junc,Ran off road,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,572196,7763992,57.69112948,-20.22027728
1,14365,1,Flacq,Slight,Jun,2009,Tue,17:05,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575513,7766655,57.72277005,-20.19608724
1,14366,1,Flacq,Slight,Jun,2009,Wed,13:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575693,7767195,57.72447025,-20.19120083
1,14367,1,Flacq,Slight,Jun,2009,Thu,14:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575689,7767188,57.72443226,-20.19126424
2,14369,1,Flacq,Slight,Jun,2009,Sun,13:30,T junction,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,576530,7765711,57.73254353,-20.20457669
1,14370,1,Flacq,Serious,Jun,2009,Mon,17:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,576677,7770605,57.73374355,-20.16034982
1,14371,1,Flacq,Slight,Jun,2009,Sun,16:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,575814,7767342,57.72562214,-20.1898678
1,14372,1,Flacq,Slight,Jun,2009,Mon,07:05,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,576555,7765734,57.73278184,-20.20436787
1,14373,1,Flacq,Slight,Jun,2009,Sun,09:00,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,574648,7769178,57.71438732,-20.17332378
1,14374,3,Flacq,Slight,Jun,2009,Tue,19:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,576962,7766235,57.7366561,-20.19982468
